date,사용자,세션,신규방문자,페이지뷰,cnt_signin,cnt_login,cnt_sub,total_participants,isTrain
2020-08-15,1302,1289,291,30700,29.0,125.0,75.0,1902,1
2020-08-16,1491,1470,338,35808,34.0,158.0,147.0,1902,1
2020-08-17,2047,2026,381,57203,38.0,215.0,218.0,2818,1
2020-08-18,3189,3084,757,83443,54.0,314.0,328.0,2818,1
2020-08-19,2557,2533,546,63283,50.0,229.0,236.0,2818,1
2020-08-20,2691,2703,706,67687,86.0,403.0,225.0,2818,1
2020-08-21,2415,2382,539,57927,40.0,289.0,216.0,2818,1
2020-08-22,2019,2025,597,43362,44.0,184.0,149.0,2818,1
2020-08-23,1605,1568,346,33793,21.0,172.0,160.0,2818,1
2020-08-24,3779,3789,1059,87840,67.0,501.0,287.0,2818,1
2020-08-25,3282,3237,853,78216,57.0,392.0,285.0,2818,1
2020-08-26,2672,2642,584,61928,62.0,288.0,341.0,2818,1
2020-08-27,2629,2593,606,57074,49.0,274.0,322.0,2818,1
2020-08-28,2364,2312,541,48738,36.0,233.0,276.0,2818,1
2020-08-29,1937,1945,418,40301,43.0,217.0,245.0,2818,1
2020-08-30,1953,1937,438,43873,42.0,180.0,233.0,2818,1
2020-08-31,3205,3240,842,74199,115.0,387.0,262.0,2818,1
2020-09-01,3746,3858,959,96445,199.0,516.0,255.0,3391,1
2020-09-02,3607,3633,744,96842,130.0,398.0,263.0,3391,1
2020-09-03,3996,3979,852,89510,109.0,398.0,260.0,3391,1
2020-09-04,3592,3710,929,84513,161.0,428.0,221.0,3391,1
2020-09-05,1887,1900,391,36978,31.0,177.0,209.0,2434,1
2020-09-06,1897,1828,334,39485,24.0,149.0,206.0,2434,1
2020-09-07,2942,2858,606,60160,34.0,238.0,278.0,2434,1
2020-09-08,2552,2503,606,51602,38.0,266.0,250.0,2434,1
2020-09-09,2698,2649,601,58683,38.0,306.0,311.0,2434,1
2020-09-10,2452,2435,549,52726,40.0,299.0,298.0,2434,1
2020-09-11,2196,2145,471,50026,32.0,239.0,275.0,2434,1
2020-09-12,1617,1596,329,37620,31.0,226.0,272.0,2434,1
2020-09-13,1858,1804,337,44793,18.0,199.0,284.0,2434,1
2020-09-14,2907,2814,588,73765,25.0,394.0,300.0,2434,1
2020-09-15,2662,2550,585,60192,25.0,253.0,180.0,1489,1
2020-09-16,2605,2546,565,54994,22.0,208.0,168.0,1489,1
2020-09-17,2268,2254,570,49503,30.0,227.0,209.0,1489,1
2020-09-18,2037,1973,484,42539,21.0,225.0,172.0,1489,1
2020-09-19,1439,1411,278,30362,9.0,140.0,161.0,1489,1
2020-09-20,1485,1488,314,28586,12.0,116.0,150.0,1489,1
2020-09-21,2204,2155,547,43600,36.0,200.0,187.0,1489,1
2020-09-22,2360,2284,593,46324,23.0,216.0,232.0,1489,1
2020-09-23,3180,3200,995,76103,58.0,330.0,257.0,1905,1
2020-09-24,2423,2372,581,51781,33.0,242.0,271.0,1905,1
2020-09-25,2086,2048,500,43434,23.0,262.0,237.0,1905,1
2020-09-26,1495,1463,288,32409,19.0,116.0,171.0,1905,1
2020-09-27,1444,1402,306,31355,14.0,116.0,173.0,1905,1
2020-09-28,4080,4017,1165,97762,54.0,413.0,284.0,3165,1
2020-09-29,3247,3163,760,79330,57.0,377.0,322.0,3165,1
2020-09-30,1674,1638,345,39526,21.0,155.0,151.0,2249,1
2020-10-01,1268,1252,228,30269,19.0,108.0,131.0,2249,1
2020-10-02,1474,1442,272,31416,20.0,124.0,147.0,2249,1
2020-10-03,1573,1539,290,34846,22.0,105.0,168.0,2249,1
2020-10-04,1685,1646,359,34965,16.0,143.0,172.0,2249,1
2020-10-05,3091,3001,747,72422,48.0,331.0,220.0,2700,1
2020-10-06,2786,2729,624,68864,50.0,288.0,241.0,2700,1
2020-10-07,3032,2958,763,70950,36.0,277.0,294.0,2700,1
2020-10-08,2686,2630,564,57482,29.0,245.0,296.0,2700,1
2020-10-09,2079,1982,330,47100,11.0,190.0,249.0,2700,1
2020-10-10,1851,1839,391,46237,58.0,219.0,180.0,2127,1
2020-10-11,1660,1609,333,35417,25.0,127.0,207.0,2127,1
2020-10-12,2539,2484,601,55777,41.0,232.0,219.0,2127,1
2020-10-13,2728,2709,717,56528,39.0,210.0,192.0,2127,1
2020-10-14,2424,2412,595,49935,38.0,209.0,209.0,2127,1
2020-10-15,2158,2138,563,43586,34.0,168.0,169.0,2127,1
2020-10-16,2096,2036,475,44606,21.0,171.0,187.0,2127,1
2020-10-17,1629,1604,466,28201,13.0,121.0,187.0,2127,1
2020-10-18,2039,2005,616,39111,19.0,150.0,185.0,2127,1
2020-10-19,2648,2619,664,55625,32.0,189.0,201.0,2450,1
2020-10-20,3241,3260,1079,86136,75.0,333.0,215.0,2838,1
2020-10-21,2646,2617,707,65931,45.0,267.0,200.0,2838,1
2020-10-22,2781,2771,783,63078,46.0,259.0,186.0,2838,1
2020-10-23,2341,2281,562,53105,27.0,180.0,162.0,2838,1
2020-10-24,1813,1777,422,37347,18.0,146.0,166.0,2838,1
2020-10-25,1623,1604,319,38919,23.0,145.0,180.0,2838,1
2020-10-26,3220,3108,774,79405,54.0,303.0,276.0,2838,1
2020-10-27,3332,3262,817,77518,96.0,309.0,273.0,2838,1
2020-10-28,3413,3340,810,87497,82.0,371.0,340.0,2838,1
2020-10-29,3954,3946,922,107834,84.0,444.0,394.0,3575,1
2020-10-30,3240,3154,716,90175,77.0,373.0,411.0,3575,1
2020-10-31,2006,2023,447,51312,57.0,246.0,255.0,3159,1
2020-11-01,1995,1977,422,47970,35.0,211.0,261.0,3159,1
2020-11-02,4758,4717,1213,120423,98.0,519.0,548.0,3513,1
2020-11-03,5418,5304,1524,150888,92.0,538.0,458.0,3513,1
2020-11-04,4516,4472,1196,112683,114.0,460.0,445.0,3513,1
2020-11-05,4155,4037,1044,102901,98.0,378.0,521.0,3513,1
2020-11-06,3663,3576,825,88015,66.0,367.0,388.0,3513,1
2020-11-07,2472,2417,531,57386,34.0,224.0,324.0,3513,1
2020-11-08,2492,2420,522,50486,36.0,224.0,318.0,3513,1
2020-11-09,0,0,0,0,162.0,460.0,511.0,3513,0
2020-11-10,0,0,0,0,75.0,356.0,504.0,3513,0
2020-11-11,0,0,0,0,86.0,504.0,587.0,4141,0
2020-11-12,0,0,0,0,61.0,394.0,571.0,4141,0
2020-11-13,0,0,0,0,74.0,397.0,609.0,4141,0
2020-11-14,0,0,0,0,31.0,222.0,381.0,3620,0
2020-11-15,0,0,0,0,50.0,296.0,443.0,3620,0
2020-11-16,0,0,0,0,76.0,600.0,688.0,3620,0
2020-11-17,0,0,0,0,67.0,430.0,226.0,1972,0
2020-11-18,0,0,0,0,63.0,312.0,290.0,1972,0
2020-11-19,0,0,0,0,62.0,311.0,282.0,1972,0
2020-11-20,0,0,0,0,69.0,254.0,203.0,1649,0
2020-11-21,0,0,0,0,26.0,157.0,109.0,1295,0
2020-11-22,0,0,0,0,31.0,173.0,120.0,1295,0
2020-11-23,0,0,0,0,65.0,524.0,236.0,2095,0
2020-11-24,0,0,0,0,69.0,395.0,274.0,2424,0
2020-11-25,0,0,0,0,63.0,402.0,375.0,2424,0
2020-11-26,0,0,0,0,41.0,318.0,329.0,2424,0
2020-11-27,0,0,0,0,45.0,288.0,302.0,2424,0
2020-11-28,0,0,0,0,36.0,231.0,273.0,2424,0
2020-11-29,0,0,0,0,30.0,206.0,294.0,2424,0
2020-11-30,0,0,0,0,62.0,346.0,453.0,2424,0
2020-12-01,0,0,0,0,49.0,339.0,522.0,2424,0
2020-12-02,0,0,0,0,33.0,308.0,823.0,2424,0
2020-12-03,0,0,0,0,43.0,282.0,365.0,2424,0
2020-12-04,0,0,0,0,42.0,276.0,352.0,2424,0
2020-12-05,0,0,0,0,31.0,143.0,197.0,1757,0
2020-12-06,0,0,0,0,24.0,169.0,192.0,1757,0
2020-12-07,0,0,0,0,70.0,345.0,236.0,1757,0
2020-12-08,0,0,0,0,70.0,299.0,223.0,1757,0
2020-12-09,0,0,0,0,0.0,,0.0,2538,0
2020-12-10,0,0,0,0,0.0,,0.0,1910,0
2020-12-11,0,0,0,0,0.0,,0.0,1910,0
2020-12-12,0,0,0,0,0.0,,0.0,1910,0
2020-12-13,0,0,0,0,0.0,,0.0,1910,0
2020-12-14,0,0,0,0,0.0,,0.0,2072,0
2020-12-15,0,0,0,0,0.0,,0.0,2072,0
2020-12-16,0,0,0,0,0.0,,0.0,2072,0
2020-12-17,0,0,0,0,0.0,,0.0,2072,0
2020-12-18,0,0,0,0,0.0,,0.0,2072,0
2020-12-19,0,0,0,0,0.0,,0.0,2072,0
2020-12-20,0,0,0,0,0.0,,0.0,2072,0
2020-12-21,0,0,0,0,0.0,,0.0,2072,0
2020-12-22,0,0,0,0,0.0,,0.0,2072,0
2020-12-23,0,0,0,0,0.0,,0.0,2072,0
2020-12-24,0,0,0,0,0.0,,0.0,2072,0
2020-12-25,0,0,0,0,0.0,,0.0,2072,0
2020-12-26,0,0,0,0,0.0,,0.0,2072,0
2020-12-27,0,0,0,0,0.0,,0.0,2072,0
2020-12-28,0,0,0,0,0.0,,0.0,1910,0
2020-12-29,0,0,0,0,0.0,,0.0,1581,0
2020-12-30,0,0,0,0,0.0,,0.0,1581,0
2020-12-31,0,0,0,0,0.0,,0.0,1581,0
2021-01-01,0,0,0,0,0.0,,0.0,781,0
2021-01-02,0,0,0,0,0.0,,0.0,781,0
2021-01-03,0,0,0,0,0.0,,0.0,781,0
2021-01-04,0,0,0,0,0.0,,0.0,781,0
2021-01-05,0,0,0,0,0.0,,0.0,781,0
2021-01-06,0,0,0,0,0.0,,0.0,781,0
2021-01-07,0,0,0,0,0.0,,0.0,781,0
2021-01-08,0,0,0,0,0.0,,0.0,781,0
